doctor_id,department_id,day_of_week,appointment_hour,patients_ahead,queue_length,average_consultation_time,appointments_scheduled,historical_average_wait,waiting_time_minutes
5,5,4,10,8,10,19.6,11,130.7,180.0
10,4,3,10,10,15,17.9,29,154.4,180.0
7,4,6,15,13,16,17.7,13,193.5,180.0
7,3,1,12,11,13,13.4,22,125.2,170.7
9,5,6,17,0,2,18.9,33,0.0,0.0
10,1,1,14,12,13,8.0,25,84.9,100.0
10,2,3,12,5,10,15.6,15,62.4,87.4
3,4,6,15,0,2,16.8,17,0.0,5.2
7,2,0,17,11,16,16.6,25,154.2,180.0
1,1,0,17,6,7,11.4,22,59.7,91.3
4,2,2,11,2,7,13.3,32,23.1,37.6
4,1,3,9,5,6,8.4,13,39.5,47.4
5,3,0,10,6,7,12.0,11,62.4,96.9
7,4,6,15,0,4,18.4,18,0.0,0.0
7,1,3,14,0,5,9.1,27,0.0,9.9
4,2,4,9,12,15,15.9,26,161.1,180.0
7,4,1,13,4,8,18.4,17,65.6,78.7
3,3,6,16,5,6,11.3,24,46.8,62.5
6,4,1,11,14,17,16.1,18,191.7,180.0
2,1,1,16,14,16,11.0,26,132.2,179.3
10,3,3,9,8,10,10.9,32,70.8,92.7
9,2,3,9,13,17,16.3,11,182.4,180.0
5,3,2,16,0,3,11.7,15,4.9,0.0
6,3,1,14,12,17,12.3,14,125.0,151.1
4,5,2,14,3,6,21.5,26,51.4,72.3
10,3,1,8,9,13,13.5,11,102.7,125.1
7,3,2,13,7,12,11.5,27,61.7,85.0
9,4,2,14,9,14,16.8,19,129.8,164.3
7,2,4,13,8,10,16.1,19,110.8,142.2
1,4,2,13,14,17,17.7,15,216.0,180.0
1,4,3,9,12,17,16.8,21,170.5,180.0
9,1,2,13,2,6,11.6,26,21.0,32.7
9,4,1,11,10,12,16.8,22,140.2,180.0
4,5,2,16,1,6,18.1,29,14.3,25.9
9,5,0,8,3,6,18.1,25,41.5,65.8
3,1,5,15,1,3,10.5,19,8.3,9.7
7,2,1,12,0,3,15.6,30,0.0,9.3
6,2,0,8,11,14,14.2,11,134.1,180.0
8,4,1,11,2,5,17.3,11,27.5,45.7
9,4,3,8,6,8,17.4,32,88.8,107.7
5,4,5,13,12,17,18.7,16,190.0,180.0
1,2,5,9,12,13,13.2,15,134.0,171.9
3,3,3,12,0,5,13.7,10,0.2,4.7
10,5,5,14,1,3,18.9,21,16.2,26.2
8,3,3,9,0,1,14.0,22,2.3,1.5
6,3,0,13,7,8,10.7,21,63.2,82.9
8,2,4,13,4,5,16.1,28,53.6,70.9
9,3,1,12,7,11,10.9,18,64.3,93.6
4,1,3,12,2,4,8.3,19,12.0,18.6
1,4,1,10,12,16,19.5,26,197.8,180.0
1,1,0,17,11,12,11.4,27,113.0,163.0
10,5,4,17,6,10,19.6,17,97.3,145.2
4,4,0,9,7,11,18.8,16,111.1,150.9
7,3,5,14,14,16,12.2,18,144.4,180.0
2,5,1,8,5,8,21.4,19,90.3,108.7
3,4,6,13,12,16,17.3,21,175.1,180.0
1,3,4,13,12,16,12.1,24,124.2,163.2
5,1,5,10,6,7,9.9,24,45.6,73.1
1,4,4,9,13,14,17.4,13,195.6,180.0
8,3,5,9,11,12,13.6,13,128.7,155.0
1,1,0,16,1,6,8.7,32,3.6,8.3
1,5,3,12,7,11,18.6,10,103.9,158.7
2,5,1,14,4,5,20.3,21,66.1,86.7
2,5,2,12,6,8,20.6,34,104.5,143.6
6,5,2,14,0,5,18.8,11,7.7,5.3
7,2,0,11,4,7,14.6,24,51.1,78.7
5,4,1,15,0,4,19.8,26,0.0,0.0
1,4,1,17,11,15,17.0,16,156.8,180.0
1,2,0,17,12,14,15.7,15,159.7,180.0
3,3,1,14,7,10,13.0,21,77.9,97.0
2,3,3,17,14,17,11.8,28,136.4,180.0
5,5,0,12,3,8,21.8,10,55.1,83.1
10,1,3,13,3,7,10.9,30,25.8,34.3
6,3,1,12,1,2,11.8,23,6.7,12.8
7,1,0,14,4,6,10.3,13,35.7,44.8
4,4,1,9,0,2,18.8,14,2.3,0.0
7,1,0,12,8,10,10.4,10,73.0,114.5
8,4,1,17,4,6,19.5,10,68.1,92.7
1,2,3,10,5,6,14.4,30,59.8,80.9
6,2,6,16,1,2,14.2,15,14.2,17.2
8,5,3,13,9,14,18.9,14,145.2,173.1
5,3,1,17,9,13,10.2,11,78.1,105.9
4,5,0,10,0,1,18.2,34,0.0,0.0
2,4,2,14,3,8,19.5,30,48.2,60.7
6,5,3,11,6,9,20.7,14,105.9,155.4
6,1,3,10,5,9,10.6,18,52.5,63.9
1,4,5,15,9,10,18.5,28,142.1,167.9
9,2,2,11,0,3,16.4,30,0.0,0.0
6,3,1,8,0,5,11.9,24,0.0,6.7
3,4,6,13,7,8,19.5,22,114.4,133.8
4,4,0,17,3,4,17.4,21,51.0,62.2
4,1,5,8,4,7,11.7,14,38.6,56.1
3,3,1,12,12,13,12.8,11,133.2,180.0
10,2,4,14,6,8,14.0,13,70.4,97.4
3,4,6,13,7,8,18.3,27,109.4,140.3
3,4,3,9,14,18,18.1,30,218.1,180.0
4,1,4,11,9,12,8.6,19,63.7,100.5
7,5,3,9,6,10,20.4,22,101.9,126.1
4,2,3,8,1,6,14.3,21,17.1,12.7
9,3,4,10,13,17,10.2,11,115.8,180.0
1,4,6,10,14,16,19.8,24,237.9,180.0
8,4,4,14,3,5,18.6,23,49.7,68.3
7,2,1,8,9,13,16.5,34,127.7,159.9
2,5,5,16,11,16,20.7,19,199.6,180.0
8,4,5,13,0,1,17.4,31,0.1,0.0
1,2,4,11,9,11,15.1,17,116.9,176.6
9,1,1,10,8,12,10.7,34,68.4,101.0
9,5,5,10,2,6,21.8,24,34.7,53.9
2,3,1,9,11,15,11.0,22,99.4,133.2
7,4,1,9,2,3,19.5,17,37.0,39.8
10,2,3,17,9,12,16.7,30,120.1,171.9
3,1,5,12,8,13,10.7,30,71.4,104.4
7,3,5,16,9,12,13.7,31,96.0,145.1
10,2,3,9,2,7,14.6,23,22.3,30.0
9,2,4,9,7,12,16.8,10,98.6,126.7
4,3,3,13,1,5,12.8,22,15.0,17.2
1,1,5,17,13,15,8.2,17,91.4,128.3
2,1,5,9,12,16,11.6,27,116.1,149.3
1,5,6,11,2,3,19.9,31,37.1,44.8
5,4,4,13,1,6,17.8,18,15.2,18.1
5,3,3,12,0,2,12.3,22,0.1,3.0
7,3,0,8,1,6,10.6,12,5.4,15.2
9,3,0,13,7,12,11.9,27,67.7,96.9
9,1,4,8,8,12,11.3,19,74.5,112.9
3,4,3,10,12,14,16.1,14,164.0,180.0
3,5,3,17,1,3,19.1,34,16.5,29.6
3,2,1,12,6,11,13.0,15,71.0,95.4
4,2,5,17,14,16,14.7,17,175.6,180.0
8,3,2,12,4,6,12.9,33,35.8,61.7
6,4,6,17,2,6,19.2,16,33.4,49.1
8,1,4,13,8,11,11.8,30,75.8,107.7
1,4,2,17,14,15,18.4,27,216.5,180.0
8,4,2,15,5,8,17.0,23,69.9,88.4
4,1,4,12,10,12,11.7,24,97.4,150.5
1,3,3,8,0,5,13.1,19,0.0,4.5
8,4,4,12,4,5,18.3,30,62.8,98.2
4,2,2,10,6,7,15.8,21,76.3,108.2
6,1,5,11,3,8,11.7,16,30.9,41.5
8,5,6,15,7,8,20.8,16,130.8,153.0
4,3,6,14,9,14,11.5,20,83.8,106.8
3,1,5,12,4,5,10.9,22,36.0,48.1
9,5,5,9,8,11,18.2,24,115.9,146.1
3,5,3,13,8,9,19.5,27,132.0,162.3
9,4,0,13,8,12,17.6,16,121.8,162.3
2,4,4,17,0,5,16.7,15,2.2,0.0
2,4,6,17,1,2,16.1,32,13.9,18.7
2,1,5,13,2,7,8.5,20,17.2,26.7
6,1,4,16,13,17,10.6,17,125.0,171.6
3,3,6,15,3,4,13.2,29,38.8,33.8
9,4,5,15,9,10,20.0,10,151.1,180.0
4,5,6,8,8,12,19.4,17,127.5,160.6
1,2,3,12,9,13,15.4,17,116.6,163.0
4,3,0,14,12,16,13.7,28,137.4,180.0
1,1,0,13,5,10,8.7,12,38.2,56.0
5,3,5,12,0,4,12.9,14,0.0,0.0
4,3,6,15,11,16,13.0,12,121.5,148.6
8,3,3,10,8,11,10.4,24,72.9,110.0
8,3,1,13,5,6,13.4,23,56.8,72.6
7,2,4,12,3,4,16.3,30,38.6,66.4
3,4,4,15,13,15,16.1,24,181.8,180.0
1,5,2,11,3,6,18.4,33,41.2,66.4
1,3,3,15,2,6,10.2,26,16.4,26.6
3,3,6,17,6,10,11.3,27,57.7,82.7
6,3,2,9,2,5,12.0,11,20.5,28.7
7,4,5,16,1,5,18.1,21,16.0,21.2
6,1,6,16,9,11,9.1,25,71.2,96.0
6,1,2,17,7,12,11.6,13,69.2,93.3
6,2,0,17,3,4,14.5,34,35.8,54.6
3,1,4,13,7,10,8.2,11,47.5,63.3
6,3,6,11,0,1,11.2,23,0.0,0.0
8,3,2,11,14,19,12.1,20,146.6,180.0
2,3,0,13,4,7,11.6,22,37.6,50.9
5,2,3,12,12,17,14.1,34,146.3,180.0
1,3,2,13,8,12,10.5,16,71.6,89.5
1,1,5,14,0,4,11.3,19,0.0,3.6
5,4,5,14,10,14,20.0,33,171.7,180.0
3,4,5,16,12,17,17.3,10,174.5,180.0
4,5,6,15,3,8,19.5,30,51.7,67.9
3,1,4,13,5,10,10.5,34,45.1,66.4
1,3,2,13,9,10,12.9,13,96.7,122.9
1,4,3,12,7,12,17.6,27,106.1,148.0
5,1,2,8,13,17,11.6,15,130.0,160.8
6,4,4,16,2,4,18.2,11,34.5,50.9
3,3,0,16,4,9,11.8,12,43.0,66.5
9,4,4,16,6,8,18.6,23,96.3,144.3
5,5,5,15,0,4,21.8,17,0.0,2.2
8,5,6,17,14,19,21.2,25,259.4,180.0
1,4,0,10,6,7,16.2,28,78.2,131.5
5,1,6,8,12,13,9.3,27,98.0,116.0
3,1,5,15,11,13,9.9,15,93.7,113.9
1,1,1,14,10,11,9.3,23,75.2,98.1
4,4,4,12,7,8,18.8,12,111.5,174.1
5,1,4,17,7,8,11.3,25,67.0,103.4
7,3,3,14,8,12,12.9,10,91.8,108.5
1,5,2,17,5,6,22.0,21,91.2,117.7
3,3,0,11,11,14,11.1,23,102.9,162.3
2,1,6,16,5,10,11.5,28,41.9,64.6
9,3,0,17,1,2,13.1,31,16.3,10.9
10,1,3,9,2,3,9.4,28,12.9,15.3
6,4,3,16,3,4,18.9,18,49.3,65.8
10,3,6,16,3,6,10.4,16,26.3,42.8
3,4,2,12,7,8,19.2,23,113.7,158.4
8,4,6,8,13,14,18.1,14,202.8,180.0
8,2,6,14,0,5,14.2,27,5.0,7.2
2,1,5,17,9,12,10.6,18,82.0,105.0
6,5,2,17,13,16,20.6,30,229.2,180.0
7,1,4,11,3,4,8.8,16,23.5,35.5
2,5,5,16,10,13,18.1,18,157.1,180.0
10,1,1,13,11,13,9.7,13,89.6,111.6
2,4,2,10,12,15,18.3,34,189.7,180.0
10,3,3,13,10,13,13.5,26,118.1,142.1
1,3,5,17,10,13,13.7,21,119.8,163.9
8,2,2,13,3,7,15.1,15,36.6,52.3
1,5,0,12,0,4,21.0,27,0.0,0.0
9,5,6,9,2,6,19.8,17,34.3,37.2
6,5,1,17,4,7,21.0,30,67.2,89.1
7,4,4,17,5,7,16.8,24,76.3,110.5
10,5,6,9,8,11,19.5,12,132.5,157.6
7,3,0,14,8,9,12.5,11,86.1,113.5
10,4,0,9,8,10,16.1,33,107.6,151.7
3,1,1,13,10,14,10.9,32,88.6,109.4
2,5,4,12,0,5,21.3,18,0.0,8.5
9,5,3,11,11,13,19.6,17,183.9,180.0
8,1,5,14,8,12,9.8,13,68.6,79.7
10,5,4,15,12,14,21.4,11,218.8,180.0
7,1,2,11,7,9,11.1,23,67.1,91.0
9,4,0,8,1,4,17.2,11,13.6,22.6
4,3,2,8,12,13,11.3,11,116.7,139.5
4,1,3,8,10,15,10.7,31,95.5,107.0
1,2,2,8,0,4,15.3,16,2.1,1.1
8,1,4,12,0,2,8.6,21,2.4,0.0
3,5,2,11,11,16,19.2,15,180.8,180.0
7,4,3,16,5,7,19.6,27,78.8,106.6
2,4,3,10,8,9,18.8,13,124.4,175.1
2,1,3,14,6,11,11.9,28,62.3,77.9
7,3,4,15,4,8,13.1,22,44.4,60.6
6,2,3,13,10,12,16.8,29,143.8,174.7
3,4,0,17,1,2,16.9,30,19.4,24.1
9,5,6,8,0,5,21.1,32,2.2,0.0
10,5,3,15,1,3,18.1,34,19.1,19.3
6,3,2,17,0,2,12.7,11,0.3,0.0
10,4,5,10,2,6,17.9,17,28.0,45.1
10,1,2,15,5,6,9.4,28,39.7,48.7
6,5,5,11,12,15,21.4,18,216.4,180.0
1,3,2,15,7,9,13.4,13,84.5,99.7
4,4,4,8,2,7,16.1,25,29.7,43.6
10,4,2,10,9,13,18.4,28,142.6,180.0
6,4,4,13,8,12,17.5,19,122.5,156.0
6,4,4,16,9,11,17.7,15,129.1,180.0
5,4,3,9,4,6,19.3,25,67.5,75.0
1,5,0,8,6,8,19.2,19,94.2,128.3
8,3,5,17,7,10,13.8,22,81.9,115.9
5,4,3,10,2,4,16.7,18,27.5,40.7
5,2,3,11,1,2,15.7,16,15.3,11.5
7,2,6,12,1,6,15.7,13,14.0,13.9
4,3,4,10,4,6,11.0,28,41.5,59.4
6,1,4,17,14,17,9.3,13,108.9,169.5
4,1,5,9,0,5,11.3,28,2.1,0.0
3,1,2,9,14,18,11.0,28,131.9,165.5
7,2,2,14,1,3,14.3,21,7.3,21.1
8,1,3,16,12,17,10.1,22,100.6,149.8
4,5,1,17,8,12,18.2,34,123.6,167.9
2,4,1,9,6,9,16.8,13,89.2,107.5
10,2,2,14,14,15,14.9,34,179.2,180.0
3,3,1,14,14,16,10.3,19,119.6,161.2
1,3,6,14,5,6,13.4,30,56.4,67.6
8,4,2,10,8,11,18.9,16,134.4,175.4
3,2,4,14,6,11,16.8,14,85.9,115.2
10,1,3,8,13,18,10.8,26,118.1,155.1
7,1,0,17,10,13,11.8,27,101.4,157.6
10,5,3,8,4,7,20.2,20,71.0,84.9
5,5,2,12,14,16,20.4,24,241.4,180.0
10,1,6,9,8,12,11.9,30,82.5,101.4
5,3,2,16,5,6,12.6,31,52.4,68.0
7,3,3,14,5,6,10.1,16,45.2,59.5
9,5,6,11,10,15,20.9,27,178.1,180.0
5,4,6,11,3,8,19.6,34,51.5,77.8
1,1,6,9,12,14,11.2,15,111.8,146.4
10,5,5,12,11,14,20.3,27,187.7,180.0
10,5,2,11,0,1,20.7,25,2.8,7.8
1,1,1,8,4,6,12.0,11,40.4,59.8
2,1,1,15,10,15,8.4,28,71.9,90.4
6,3,2,10,8,13,12.7,10,85.2,119.8
9,4,2,13,12,13,17.1,34,177.5,180.0
8,4,5,11,7,12,18.6,20,108.6,164.4
5,1,1,16,7,12,10.4,29,61.7,84.6
1,2,2,14,4,8,13.6,14,48.6,63.0
7,5,2,16,11,14,18.8,25,179.6,180.0
5,5,5,17,8,13,20.5,32,137.7,180.0
6,1,5,10,2,6,8.5,10,20.4,19.8
7,2,3,8,2,4,14.1,28,24.8,25.4
3,3,5,12,0,5,13.3,23,0.0,1.7
10,1,0,10,8,10,9.3,12,64.4,97.1
3,1,1,13,5,10,10.0,11,41.1,57.1
5,5,3,15,1,2,21.8,33,19.8,22.6
6,1,0,11,7,11,8.9,14,52.9,86.9
9,1,2,12,11,15,9.6,26,89.6,127.3
5,1,2,12,8,9,10.4,27,68.2,97.8
1,5,3,11,8,11,21.0,10,145.9,180.0
4,3,5,11,1,5,13.6,24,8.1,26.3
5,3,6,11,1,3,13.7,31,8.3,18.1
10,1,6,11,12,16,11.1,18,114.4,153.3
10,5,2,11,6,9,18.9,32,101.3,132.9
5,3,6,12,10,12,10.1,14,84.8,122.5
7,3,4,9,3,5,11.5,22,31.5,47.9
4,3,3,9,12,13,10.6,28,111.0,137.4
1,5,0,16,0,5,20.8,33,2.4,0.0
5,5,3,9,7,8,20.6,19,121.9,158.2
7,1,1,13,1,6,8.2,29,3.7,11.1
10,4,5,9,13,14,19.3,34,207.2,180.0
10,3,5,12,2,7,11.0,30,17.9,24.2
6,4,3,11,4,8,17.7,23,63.8,76.0
5,5,2,14,13,15,20.7,31,225.1,180.0
4,5,2,14,2,7,19.7,30,35.6,29.9
2,5,4,13,6,10,19.8,21,98.0,143.9
4,4,4,17,6,9,16.3,20,83.3,123.4
10,5,5,12,13,14,19.6,32,218.8,180.0
10,1,4,8,1,4,11.1,16,7.4,16.0
3,5,0,10,12,16,21.7,26,221.5,180.0
10,2,4,16,12,15,14.7,27,148.2,180.0
1,4,0,8,6,9,17.7,16,92.4,126.1
8,2,4,12,10,14,15.8,33,135.1,180.0
5,5,5,9,5,7,21.8,29,92.7,108.8
4,1,5,11,9,14,9.1,15,74.0,104.2
8,3,0,8,8,9,11.8,20,82.0,111.2
7,5,3,10,12,17,21.2,21,214.0,180.0
2,1,5,17,8,9,10.4,25,70.7,105.1
1,4,3,14,1,6,16.4,28,13.7,17.7
4,2,2,17,6,9,15.5,32,79.3,103.3
8,2,0,10,4,6,13.7,28,54.3,74.2
2,2,6,11,12,15,15.0,20,154.5,180.0
3,4,5,9,5,7,18.1,25,70.9,96.1
1,1,1,10,0,4,11.5,32,0.0,0.0
1,4,2,16,6,7,17.8,21,85.2,119.7
3,2,3,10,5,6,14.1,17,59.0,91.7
5,5,5,12,3,7,18.9,12,42.3,67.2
3,3,0,9,0,5,13.5,11,0.0,0.0
1,4,6,11,8,12,16.7,15,108.9,164.2
1,4,4,14,3,7,17.7,25,46.3,57.7
8,1,6,14,1,3,8.7,29,7.4,7.5
10,1,1,10,7,11,11.1,33,66.9,97.1
2,4,3,12,1,2,17.9,24,14.9,25.3
3,2,2,8,4,7,14.4,23,44.8,66.0
2,3,6,17,10,12,11.4,11,98.8,128.9
3,1,0,17,5,7,11.4,29,54.3,74.9
7,2,1,17,10,15,15.2,27,130.6,173.0
1,5,0,8,12,15,20.9,23,211.6,180.0
10,1,5,12,7,9,11.6,27,64.7,102.6
8,2,4,17,10,14,16.6,11,138.4,180.0
10,2,2,16,0,2,14.3,10,1.4,2.1
10,3,0,8,0,2,13.8,29,3.2,1.6
10,3,3,8,11,13,10.1,11,95.2,113.3
2,5,5,11,3,8,19.5,18,52.1,75.2
3,2,5,11,4,6,16.6,18,58.5,81.5
9,2,2,9,12,14,14.1,25,145.3,168.2
7,3,5,16,14,19,11.1,20,130.0,180.0
4,1,3,16,12,15,9.2,32,94.5,126.0
10,1,0,9,8,9,10.4,15,68.5,100.8
5,4,2,16,10,15,17.8,21,151.0,180.0
2,3,5,13,13,18,12.9,12,143.6,175.4
8,4,5,15,6,8,19.6,21,104.9,122.9
4,3,3,17,6,8,12.7,32,60.8,88.0
9,5,4,11,7,8,18.8,10,113.4,173.7
5,2,4,9,14,16,16.7,18,203.5,180.0
9,5,6,9,4,8,19.1,29,67.1,86.8
4,3,5,16,4,6,10.6,31,38.5,51.7
10,2,0,8,0,2,13.4,15,1.8,6.4
5,1,2,14,13,17,10.3,20,117.2,145.3
9,1,5,10,8,9,8.5,12,54.2,82.2
8,4,1,10,5,9,16.6,13,66.2,94.6
3,3,2,9,8,13,11.2,19,76.1,93.8
1,3,6,17,2,6,11.1,28,12.4,33.8
3,1,4,13,4,7,10.4,15,39.1,54.9
4,5,5,17,1,6,21.3,10,21.7,23.9
2,2,3,9,9,11,16.0,17,121.4,138.6
1,5,1,17,4,9,19.0,17,63.7,87.5
7,5,5,11,14,15,19.0,34,225.7,180.0
8,1,6,17,12,13,11.9,15,121.2,162.1
7,1,0,16,12,16,8.0,26,82.3,126.8
5,1,1,16,12,17,11.5,28,119.2,164.1
1,4,6,13,14,16,16.8,10,199.4,180.0
7,5,5,11,13,14,21.8,24,243.6,180.0
7,3,0,14,7,9,11.4,22,69.0,84.8
9,2,1,8,10,13,14.8,30,123.7,152.7
3,4,0,11,1,2,18.8,12,20.0,34.0
9,3,0,12,7,11,12.4,11,69.4,116.4
1,5,1,15,3,6,19.3,12,48.9,62.3
1,1,1,9,9,14,10.2,18,81.0,100.4
4,5,0,12,9,11,20.9,25,157.9,180.0
9,2,6,13,14,15,13.2,33,157.6,180.0
6,4,4,12,0,3,16.0,22,1.6,0.5
3,4,1,16,12,15,17.8,28,179.3,180.0
1,2,5,17,4,5,13.5,27,45.8,67.1
4,3,2,8,12,17,12.7,30,128.6,160.6
9,3,3,10,0,5,10.9,21,0.0,0.0
3,4,0,9,6,10,17.7,21,97.3,123.7
9,4,0,10,7,12,16.8,10,97.6,151.5
7,1,3,17,2,6,10.2,29,20.3,20.6
4,3,4,16,2,5,10.5,17,16.6,24.5
3,2,3,16,6,7,13.1,26,63.5,92.1
10,3,1,17,3,8,10.2,30,26.3,42.7
5,1,3,9,2,6,11.8,29,22.0,28.6
5,4,0,10,14,17,16.6,31,199.9,180.0
3,4,3,11,7,12,18.8,16,116.7,159.5
9,1,2,16,2,4,8.3,18,22.9,20.6
4,2,5,10,12,15,13.4,26,137.8,180.0
5,4,1,14,13,18,18.0,19,197.3,180.0
4,5,3,10,6,9,19.9,13,102.6,142.0
5,4,0,14,1,2,19.8,31,16.0,18.6
7,5,6,14,10,11,21.8,16,187.9,180.0
9,1,5,16,10,11,11.1,16,90.6,127.2
7,1,1,9,0,2,10.4,17,7.1,1.1
5,4,0,13,11,12,17.8,33,169.2,180.0
10,3,4,16,5,7,11.4,33,43.5,76.7
10,5,2,9,7,8,21.8,17,127.5,159.0
7,2,4,9,0,3,15.4,25,2.4,3.7
10,4,2,12,12,17,18.3,21,190.4,180.0
5,2,3,17,9,14,13.9,24,102.7,141.8
